term    sampling_category
Hospitalization	mesh_e02
Radiotherapy	mesh_e02
Rehabilitation	mesh_e02
Injections	mesh_e02
Combined Modality Therapy	mesh_e02
Vaccination	mesh_e02
Drug Therapy, Combination	mesh_e02
Administration, Oral	mesh_e02
Length of Stay	mesh_e02
Immunization	mesh_e02
Drainage	mesh_e02
Immunotherapy	mesh_e02
Kidney Transplantation	mesh_e02
Drug Administration Schedule	mesh_e02
Catheterization	mesh_e02
Renal Dialysis	mesh_e02
Immunosuppression	mesh_e02
Injections, Intravenous	mesh_e02
Activities of Daily Living	mesh_e02
Patient Care	mesh_e02
Blood Transfusion	mesh_e02
Critical Care	mesh_e02
Drug Delivery Systems	mesh_e02
Liver Transplantation	mesh_e02
Hygiene	mesh_e02
Resuscitation	mesh_e02
Palliative Care	mesh_e02
Drug Therapy	mesh_e02
Cell Transplantation	mesh_e02
Postoperative Care	mesh_e02
Stem Cell Transplantation	mesh_e02
Preoperative Care	mesh_e02
Cardiac Catheterization	mesh_e02
Pain Management	mesh_e02
Infusions, Intravenous	mesh_e02
Radiotherapy Dosage	mesh_e02
Intubation	mesh_e02
Bone Marrow Transplantation	mesh_e02
Nursing Care	mesh_e02
Hematopoietic Stem Cell Transplantation	mesh_e02
Respiration, Artificial	mesh_e02
Ambulatory Care	mesh_e02
Genetic Therapy	mesh_e02
Angioplasty	mesh_e02
Drug Carriers	mesh_e02
Contraception	mesh_e02
Self Care	mesh_e02
Acoustic Stimulation	mesh_e02
Exercise Therapy	mesh_e02
Laser Therapy	mesh_e02
Remission Induction	mesh_e02
Chemotherapy, Adjuvant	mesh_e02
Decompression	mesh_e02
Phytotherapy	mesh_e02
Long-Term Care	mesh_e02
Administration, Topical	mesh_e02
Catheter Ablation	mesh_e02
Contraindications	mesh_e02
Physical Therapy Modalities	mesh_e02
Secondary Prevention	mesh_e02
Placebos	mesh_e02
Skin Transplantation	mesh_e02
Angioplasty, Balloon, Coronary	mesh_e02
Prenatal Care	mesh_e02
Conservative Treatment	mesh_e02
Patient Discharge	mesh_e02
Embolization, Therapeutic	mesh_e02
Fertilization in Vitro	mesh_e02
Injections, Subcutaneous	mesh_e02
Molecular Targeted Therapy	mesh_e02
Bone Transplantation	mesh_e02
Administration, Inhalation	mesh_e02
Injections, Intraperitoneal	mesh_e02
Clinical Protocols	mesh_e02
Injections, Intramuscular	mesh_e02
Cryopreservation	mesh_e02
Peritoneal Dialysis	mesh_e02
Suggestion	mesh_e02
Terminal Care	mesh_e02
Drug Prescriptions	mesh_e02
Thrombolytic Therapy	mesh_e02
Precision Medicine	mesh_e02
Parenteral Nutrition	mesh_e02
Orthopedic Procedures	mesh_e02
Chemoradiotherapy	mesh_e02
Neoadjuvant Therapy	mesh_e02
Glycemic Control	mesh_e02
Infusions, Parenteral	mesh_e02
Brachytherapy	mesh_e02
Cardiopulmonary Resuscitation	mesh_e02
Patient Admission	mesh_e02
Euthanasia	mesh_e02
Enteral Nutrition	mesh_e02
Radiotherapy, Adjuvant	mesh_e02
Administration, Cutaneous	mesh_e02
Photochemotherapy	mesh_e02
Fluid Therapy	mesh_e02
Oral Hygiene	mesh_e02
Antiretroviral Therapy, Highly Active	mesh_e02
Radiosurgery	mesh_e02
Embryo Transfer	mesh_e02
Bariatric Surgery	mesh_e02
Electric Stimulation Therapy	mesh_e02
Hormone Replacement Therapy	mesh_e02
Hypothermia, Induced	mesh_e02
Antibiotic Prophylaxis	mesh_e02
Continuity of Patient Care	mesh_e02
Immunomodulation	mesh_e02
Patient Readmission	mesh_e02
Premedication	mesh_e02
Complementary Therapies	mesh_e02
Medicine, Chinese Traditional	mesh_e02
Microinjections	mesh_e02
Salvage Therapy	mesh_e02
Occupational Therapy	mesh_e02
Perioperative Care	mesh_e02
Transcranial Magnetic Stimulation	mesh_e02
Immunization, Passive	mesh_e02
Punctures	mesh_e02
Acupuncture Therapy	mesh_e02
Angioplasty, Balloon	mesh_e02
Hyperthermia, Induced	mesh_e02
Freeze Drying	mesh_e02
Intraoperative Care	mesh_e02
Extracorporeal Membrane Oxygenation	mesh_e02
Adoptive Transfer	mesh_e02
Radiofrequency Ablation	mesh_e02
Tracheostomy	mesh_e02
Estrogen Replacement Therapy	mesh_e02
Renal Replacement Therapy	mesh_e02
Stroke Rehabilitation	mesh_e02
Self Administration	mesh_e02
Chemoprevention	mesh_e02
Catheterization, Central Venous	mesh_e02
Retreatment	mesh_e02
Medication Errors	mesh_e02
Phototherapy	mesh_e02
Laminectomy	mesh_e02
Administration, Intranasal	mesh_e02
Gastric Bypass	mesh_e02
Resistance Training	mesh_e02
Emergency Treatment	mesh_e02
Urinary Catheterization	mesh_e02
Deep Brain Stimulation	mesh_e02
Lithotripsy	mesh_e02
Mammaplasty	mesh_e02
Delayed Diagnosis	mesh_e02
Nutritional Support	mesh_e02
Ovulation Induction	mesh_e02
Continuous Positive Airway Pressure	mesh_e02
Massage	mesh_e02
Electrocoagulation	mesh_e02
Plasmapheresis	mesh_e02
